Time,"UTC TIME",Anum,Fnum,Height,Speed,Angle,Longitude,Latitude
1723558931,"2024-08-13 14:22:11",B30AM,A67282,2712.72,372.252,66,105.03928375244,26.650690078735
1723558944,"2024-08-13 14:22:24",B30AM,A67282,2781.3,409.292,66,105.05184173584,26.655529022217
1723558958,"2024-08-13 14:22:38",B30AM,A67282,2971.8,451.888,67,105.07598876953,26.664779663086
1723558972,"2024-08-13 14:22:52",B30AM,A67282,3131.82,455.592,66,105.09168243408,26.670799255371
1723558993,"2024-08-13 14:23:13",B30AM,A67282,3375.66,472.26,66,105.11354064941,26.6794090271
1723559004,"2024-08-13 14:23:24",B30AM,A67282,3550.92,474.112,66,105.12780761719,26.68510055542
1723559019,"2024-08-13 14:23:39",B30AM,A67282,3794.76,481.52,65,105.14900970459,26.693529129028
1723559035,"2024-08-13 14:23:55",B30AM,A67282,4008.12,483.372,66,105.16729736328,26.700849533081
1723559047,"2024-08-13 14:24:07",B30AM,A67282,4175.76,494.484,65,105.18403625488,26.707580566406
1723559061,"2024-08-13 14:24:21",B30AM,A67282,4351.02,501.892,65,105.20342254639,26.715410232544
1723559077,"2024-08-13 14:24:37",B30AM,A67282,4442.46,514.856,66,105.21555328369,26.720260620117
1723559092,"2024-08-13 14:24:52",B30AM,A67282,4511.04,559.304,66,105.24231719971,26.730989456177
1723559105,"2024-08-13 14:25:05",B30AM,A67282,4511.04,574.12,66,105.26212310791,26.738859176636
1723559121,"2024-08-13 14:25:21",B30AM,A67282,4533.9,574.12,66,105.28188323975,26.746719360352
1723559133,"2024-08-13 14:25:33",B30AM,A67282,4602.48,572.268,66,105.3053817749,26.755989074707
1723559144,"2024-08-13 14:25:44",B30AM,A67282,4663.44,572.268,66,105.31942749023,26.76157951355
1723559158,"2024-08-13 14:25:58",B30AM,A67282,4754.88,574.12,66,105.3365020752,26.768369674683
1723559169,"2024-08-13 14:26:09",B30AM,A67282,4853.94,579.676,66,105.35054016113,26.773960113525
1723559183,"2024-08-13 14:26:23",B30AM,A67282,4991.1,581.528,66,105.37241363525,26.782649993896
1723559197,"2024-08-13 14:26:37",B30AM,A67282,5082.54,609.308,66,105.39588928223,26.7919921875
1723559213,"2024-08-13 14:26:53",B30AM,A67282,5097.78,650.052,66,105.42003631592,26.801700592041
1723559228,"2024-08-13 14:27:08",B30AM,A67282,5097.78,687.092,66,105.44522094727,26.811767578125
1723559243,"2024-08-13 14:27:23",B30AM,A67282,5090.16,711.168,66,105.47253417969,26.82275390625
1723559257,"2024-08-13 14:27:37",B30AM,A67282,5128.26,716.724,66,105.50046539307,26.833831787109
1723559269,"2024-08-13 14:27:49",B30AM,A67282,5265.42,722.28,66,105.52732849121,26.844440460205
1723559280,"2024-08-13 14:28:00",B30AM,A67282,5379.72,724.132,66,105.54676055908,26.852079391479
1723559295,"2024-08-13 14:28:15",B30AM,A67282,5547.36,727.836,66,105.5743637085,26.862850189209
1723559309,"2024-08-13 14:28:29",B30AM,A67282,5722.62,725.984,66,105.60250091553,26.873840332031
1723559320,"2024-08-13 14:28:40",B30AM,A67282,5867.4,722.28,66,105.62055206299,26.880937576294
1723559335,"2024-08-13 14:28:55",B30AM,A67282,6050.28,720.428,66,105.64826202393,26.891876220703
1723559349,"2024-08-13 14:29:09",B30AM,A67282,6217.92,720.428,66,105.67537689209,26.90258026123
1723559365,"2024-08-13 14:29:25",B30AM,A67282,6332.22,725.984,66,105.70274353027,26.913429260254
1723559379,"2024-08-13 14:29:39",B30AM,A67282,6454.14,731.54,66,105.73152160645,26.924837112427
1723559390,"2024-08-13 14:29:50",B30AM,A67282,6545.58,737.096,66,105.75025177002,26.932205200195
1723559404,"2024-08-13 14:30:04",B30AM,A67282,6637.02,740.8,66,105.7713470459,26.940525054932
1723559419,"2024-08-13 14:30:19",B30AM,A67282,6774.18,746.356,66,105.79927062988,26.951431274414
1723559434,"2024-08-13 14:30:34",B30AM,A67282,6865.62,753.764,66,105.82791900635,26.962684631348
1723559445,"2024-08-13 14:30:45",B30AM,A67282,6888.48,766.728,66,105.8475189209,26.970428466797
1723559464,"2024-08-13 14:31:04",B30AM,A67282,6888.48,798.212,66,105.88781738281,26.98628616333
1723559475,"2024-08-13 14:31:15",B30AM,A67282,6888.48,807.472,66,105.90851593018,26.994415283203
1723559489,"2024-08-13 14:31:29",B30AM,A67282,6888.48,814.88,67,105.93923950195,27.006410598755
1723559504,"2024-08-13 14:31:44",B30AM,A67282,6888.48,818.584,77,105.97312164307,27.015659332275
1723559519,"2024-08-13 14:31:59",B30AM,A67282,6888.48,816.732,89,106.0065612793,27.018493652344
1723559535,"2024-08-13 14:32:15",B30AM,A67282,6888.48,813.028,100,106.03998565674,27.015472412109
1723559549,"2024-08-13 14:32:29",B30AM,A67282,6888.48,813.028,110,106.07242584229,27.006637573242
1723559565,"2024-08-13 14:32:45",B30AM,A67282,6888.48,811.176,122,106.10346984863,26.991668701172
1723559584,"2024-08-13 14:33:04",B30AM,A67282,6888.48,833.4,128,106.13990020752,26.966857910156
1723559599,"2024-08-13 14:33:19",B30AM,A67282,6888.48,844.512,127,106.16706848145,26.948299407959
1723559615,"2024-08-13 14:33:35",B30AM,A67282,6888.48,850.068,127,106.19612884521,26.928817749023
1723559629,"2024-08-13 14:33:49",B30AM,A67282,6888.48,848.216,127,106.22396087646,26.910320281982
1723559644,"2024-08-13 14:34:04",B30AM,A67282,6888.48,842.66,127,106.25302886963,26.891098022461
1723559655,"2024-08-13 14:34:15",B30AM,A67282,6888.48,840.808,126,106.2724609375,26.878143310547
1723559669,"2024-08-13 14:34:29",B30AM,A67282,6888.48,840.808,127,106.30033111572,26.859523773193
1723559684,"2024-08-13 14:34:44",B30AM,A67282,6888.48,842.66,127,106.32810974121,26.840856552124
1723559695,"2024-08-13 14:34:55",B30AM,A67282,6888.48,844.512,127,106.34733581543,26.82791519165
1723559709,"2024-08-13 14:35:09",B30AM,A67282,6888.48,844.512,127,106.37591552734,26.808549880981
1723559724,"2024-08-13 14:35:24",B30AM,A67282,6888.48,846.364,127,106.40409088135,26.789474487305
1723559739,"2024-08-13 14:35:39",B30AM,A67282,6888.48,848.216,127,106.43232727051,26.770290374756
1723559754,"2024-08-13 14:35:54",B30AM,A67282,6888.48,848.216,127,106.46011352539,26.751434326172
1723559765,"2024-08-13 14:36:05",B30AM,A67282,6888.48,850.068,127,106.47911834717,26.738487243652
1723559780,"2024-08-13 14:36:20",B30AM,A67282,6888.48,848.216,127,106.50785827637,26.718982696533
1723559794,"2024-08-13 14:36:34",B30AM,A67282,6888.48,850.068,127,106.53623962402,26.699661254883
1723559805,"2024-08-13 14:36:45",B30AM,A67282,6888.48,851.92,127,106.55470275879,26.687141418457
1723559820,"2024-08-13 14:37:00",B30AM,A67282,6888.48,850.068,127,106.58303070068,26.667850494385
1723559834,"2024-08-13 14:37:14",B30AM,A67282,6888.48,850.068,127,106.61096954346,26.648899078369
1723559849,"2024-08-13 14:37:29",B30AM,A67282,6888.48,851.92,127,106.63988494873,26.629211425781
1723559864,"2024-08-13 14:37:44",B30AM,A67282,6888.48,851.92,127,106.66821289062,26.60996055603
1723559879,"2024-08-13 14:37:59",B30AM,A67282,6888.48,851.92,127,106.69694519043,26.590358734131
