Time,"UTC TIME",Anum,Fnum,Height,Speed,Angle,Longitude,Latitude
1704508143,"2024-01-06 02:29:03",B2045,CA1308,0,3.704,154,113.804499,22.628484
1704508150,"2024-01-06 02:29:10",B2045,CA1308,0,3.704,154,113.804499,22.628531
1704508155,"2024-01-06 02:29:15",B2045,CA1308,0,3.704,154,113.804502,22.628586
1704508160,"2024-01-06 02:29:20",B2045,CA1308,0,3.704,154,113.804502,22.628632
1704508172,"2024-01-06 02:29:32",B2045,CA1308,0,3.704,154,113.804539,22.628746
1704508181,"2024-01-06 02:29:41",B2045,CA1308,0,3.704,154,113.804588,22.628822
1704508408,"2024-01-06 02:33:28",B2045,CA1308,0,5.556,154,113.804512,22.628763
1704508411,"2024-01-06 02:33:31",B2045,CA1308,0,7.408,154,113.804427,22.628666
1704508416,"2024-01-06 02:33:36",B2045,CA1308,0,9.26,154,113.804347,22.628589
1704508421,"2024-01-06 02:33:41",B2045,CA1308,0,9.26,154,113.804239,22.628483
1704508426,"2024-01-06 02:33:46",B2045,CA1308,0,9.26,154,113.804169,22.628414
1704508431,"2024-01-06 02:33:51",B2045,CA1308,0,7.408,154,113.804102,22.628345
1704508436,"2024-01-06 02:33:56",B2045,CA1308,0,7.408,154,113.804029,22.628275
1704508441,"2024-01-06 02:34:01",B2045,CA1308,0,9.26,154,113.80394,22.628185
1704508446,"2024-01-06 02:34:06",B2045,CA1308,0,12.964,154,113.803825,22.628077
1704508451,"2024-01-06 02:34:11",B2045,CA1308,0,12.964,154,113.803715,22.627956
1704508456,"2024-01-06 02:34:16",B2045,CA1308,0,16.668,154,113.803553,22.627808
1704508461,"2024-01-06 02:34:21",B2045,CA1308,0,18.52,154,113.80338,22.627646
1704508466,"2024-01-06 02:34:26",B2045,CA1308,0,16.668,154,113.803216,22.627533
1704508471,"2024-01-06 02:34:31",B2045,CA1308,0,18.52,154,113.802961,22.627553
1704508476,"2024-01-06 02:34:36",B2045,CA1308,0,18.52,154,113.802779,22.627728
1704508481,"2024-01-06 02:34:41",B2045,CA1308,0,18.52,154,113.802681,22.627937
1704508486,"2024-01-06 02:34:46",B2045,CA1308,0,20.372,154,113.802541,22.62817
1704508491,"2024-01-06 02:34:51",B2045,CA1308,0,22.224,154,113.802404,22.628414
1704508496,"2024-01-06 02:34:56",B2045,CA1308,0,24.076,154,113.802254,22.628689
1704508501,"2024-01-06 02:35:01",B2045,CA1308,0,24.076,154,113.802117,22.628941
1704508506,"2024-01-06 02:35:06",B2045,CA1308,0,25.928,154,113.801956,22.629229
1704508511,"2024-01-06 02:35:11",B2045,CA1308,0,27.78,154,113.801805,22.629524
1704508516,"2024-01-06 02:35:16",B2045,CA1308,0,29.632,154,113.801618,22.629845
1704508521,"2024-01-06 02:35:21",B2045,CA1308,0,29.632,154,113.80143,22.630177
1704508526,"2024-01-06 02:35:26",B2045,CA1308,0,33.336,154,113.801219,22.630556
1704508531,"2024-01-06 02:35:31",B2045,CA1308,0,33.336,154,113.801041,22.630893
1704508536,"2024-01-06 02:35:36",B2045,CA1308,0,33.336,154,113.800824,22.631301
1704508541,"2024-01-06 02:35:41",B2045,CA1308,0,37.04,154,113.800608,22.631673
1704508546,"2024-01-06 02:35:46",B2045,CA1308,0,37.04,154,113.800379,22.632104
1704508551,"2024-01-06 02:35:51",B2045,CA1308,0,37.04,154,113.800151,22.632534
1704508556,"2024-01-06 02:35:56",B2045,CA1308,0,40.744,154,113.799909,22.632965
1704508561,"2024-01-06 02:36:01",B2045,CA1308,0,40.744,154,113.799655,22.633419
1704508566,"2024-01-06 02:36:06",B2045,CA1308,0,40.744,154,113.7994,22.633896
1704508571,"2024-01-06 02:36:11",B2045,CA1308,0,40.744,154,113.799146,22.634361
1704508576,"2024-01-06 02:36:16",B2045,CA1308,0,37.04,154,113.798896,22.6348
1704508581,"2024-01-06 02:36:21",B2045,CA1308,0,33.336,154,113.798709,22.635166
1704508586,"2024-01-06 02:36:26",B2045,CA1308,0,27.78,154,113.798522,22.635498
1704508591,"2024-01-06 02:36:31",B2045,CA1308,0,24.076,154,113.798372,22.635773
1704508596,"2024-01-06 02:36:36",B2045,CA1308,0,16.668,154,113.798272,22.635979
1704508601,"2024-01-06 02:36:41",B2045,CA1308,0,16.668,154,113.798332,22.636177
1704508606,"2024-01-06 02:36:46",B2045,CA1308,0,16.668,154,113.79851,22.636305
1704508611,"2024-01-06 02:36:51",B2045,CA1308,0,18.52,154,113.798721,22.636402
1704508616,"2024-01-06 02:36:56",B2045,CA1308,0,18.52,154,113.798959,22.636517
1704508625,"2024-01-06 02:37:05",B2045,CA1308,0,20.372,154,113.799246,22.636642
1704508630,"2024-01-06 02:37:10",B2045,CA1308,0,22.224,154,113.799495,22.636768
1704508635,"2024-01-06 02:37:15",B2045,CA1308,0,22.224,154,113.799769,22.636887
1704508640,"2024-01-06 02:37:20",B2045,CA1308,0,24.076,154,113.800145,22.637066
1704508704,"2024-01-06 02:38:24",B2045,CA1308,0,44.448,61,113.805563,22.639629
1704508713,"2024-01-06 02:38:33",B2045,CA1308,0,40.744,61,113.8061,22.639893
1704508718,"2024-01-06 02:38:38",B2045,CA1308,0,33.336,61,113.806534,22.640087
1704508723,"2024-01-06 02:38:43",B2045,CA1308,0,25.928,61,113.806877,22.64025
1704508728,"2024-01-06 02:38:48",B2045,CA1308,0,22.224,61,113.807148,22.640373
1704508733,"2024-01-06 02:38:53",B2045,CA1308,0,20.372,61,113.807386,22.640495
1704508738,"2024-01-06 02:38:58",B2045,CA1308,0,16.668,61,113.807598,22.640625
1704508743,"2024-01-06 02:39:03",B2045,CA1308,0,18.52,61,113.80761,22.640865
1704508748,"2024-01-06 02:39:08",B2045,CA1308,0,18.52,61,113.807523,22.641048
1704508753,"2024-01-06 02:39:13",B2045,CA1308,0,18.52,61,113.807398,22.641243
1704508758,"2024-01-06 02:39:18",B2045,CA1308,0,18.52,61,113.807286,22.64146
1704508763,"2024-01-06 02:39:23",B2045,CA1308,0,20.372,61,113.80717,22.64167
1704508768,"2024-01-06 02:39:28",B2045,CA1308,0,22.224,61,113.80703,22.641926
1704508773,"2024-01-06 02:39:33",B2045,CA1308,0,24.076,61,113.806886,22.642193
1704508778,"2024-01-06 02:39:38",B2045,CA1308,0,25.928,61,113.806737,22.642473
1704508783,"2024-01-06 02:39:43",B2045,CA1308,0,25.928,331,113.806574,22.642765
1704508788,"2024-01-06 02:39:48",B2045,CA1308,0,29.632,331,113.806407,22.643078
1704508793,"2024-01-06 02:39:53",B2045,CA1308,0,29.632,331,113.806229,22.643404
1704508798,"2024-01-06 02:39:58",B2045,CA1308,0,29.632,331,113.80605,22.643726
1704508803,"2024-01-06 02:40:03",B2045,CA1308,0,33.336,334,113.805837,22.644093
1704508808,"2024-01-06 02:40:08",B2045,CA1308,0,35.188,331,113.805638,22.644482
1704508813,"2024-01-06 02:40:13",B2045,CA1308,0,33.336,331,113.805415,22.644871
1704508818,"2024-01-06 02:40:18",B2045,CA1308,0,37.04,331,113.805213,22.645237
1704508823,"2024-01-06 02:40:23",B2045,CA1308,0,37.04,331,113.80497,22.645685
1704508828,"2024-01-06 02:40:28",B2045,CA1308,0,37.04,331,113.804754,22.646081
1704508833,"2024-01-06 02:40:33",B2045,CA1308,0,40.744,331,113.804502,22.64653
1704508838,"2024-01-06 02:40:38",B2045,CA1308,0,40.744,331,113.804239,22.647011
1704508843,"2024-01-06 02:40:43",B2045,CA1308,0,40.744,331,113.804002,22.647457
1704508848,"2024-01-06 02:40:48",B2045,CA1308,0,33.336,331,113.803765,22.647869
1704508853,"2024-01-06 02:40:53",B2045,CA1308,0,27.78,331,113.803571,22.648234
1704508858,"2024-01-06 02:40:58",B2045,CA1308,0,24.076,331,113.803444,22.648467
1704508863,"2024-01-06 02:41:03",B2045,CA1308,0,18.52,331,113.803328,22.648693
1704508868,"2024-01-06 02:41:08",B2045,CA1308,0,12.964,331,113.803241,22.648842
1704508873,"2024-01-06 02:41:13",B2045,CA1308,0,5.556,331,113.803202,22.648909
1704508878,"2024-01-06 02:41:18",B2045,CA1308,0,5.556,331,113.803177,22.648967
1704508883,"2024-01-06 02:41:23",B2045,CA1308,0,5.556,331,113.803139,22.649025
1704508888,"2024-01-06 02:41:28",B2045,CA1308,0,3.704,331,113.803116,22.649071
1704508893,"2024-01-06 02:41:33",B2045,CA1308,0,1.852,331,113.803103,22.649094
1704508898,"2024-01-06 02:41:38",B2045,CA1308,0,1.852,331,113.803091,22.649117
1704508903,"2024-01-06 02:41:43",B2045,CA1308,0,0,331,113.803078,22.649128
1704508908,"2024-01-06 02:41:48",B2045,CA1308,0,0,331,113.803078,22.649128
1704508913,"2024-01-06 02:41:53",B2045,CA1308,0,1.852,331,113.803075,22.649142
1704508924,"2024-01-06 02:42:04",B2045,CA1308,0,5.556,331,113.803028,22.649231
1704508928,"2024-01-06 02:42:08",B2045,CA1308,0,7.408,331,113.802979,22.649311
1704508933,"2024-01-06 02:42:13",B2045,CA1308,0,9.26,331,113.802929,22.649414
1704508938,"2024-01-06 02:42:18",B2045,CA1308,0,11.112,331,113.802854,22.649551
1704508943,"2024-01-06 02:42:23",B2045,CA1308,0,12.964,331,113.802779,22.649689
1704508948,"2024-01-06 02:42:28",B2045,CA1308,0,14.816,331,113.802681,22.649852
1704508953,"2024-01-06 02:42:33",B2045,CA1308,0,11.112,331,113.802604,22.650009
1704508958,"2024-01-06 02:42:38",B2045,CA1308,0,9.26,331,113.802542,22.650124
1704508963,"2024-01-06 02:42:43",B2045,CA1308,0,7.408,331,113.802492,22.650215
1704508968,"2024-01-06 02:42:48",B2045,CA1308,0,9.26,331,113.802442,22.650307
1704508973,"2024-01-06 02:42:53",B2045,CA1308,0,5.556,331,113.802379,22.650421
1704508978,"2024-01-06 02:42:58",B2045,CA1308,0,3.704,331,113.80235,22.650468
1704508982,"2024-01-06 02:43:02",B2045,CA1308,0,1.852,331,113.802329,22.65049
1704508987,"2024-01-06 02:43:07",B2045,CA1308,0,0,331,113.802329,22.65049
1704508992,"2024-01-06 02:43:12",B2045,CA1308,0,0,331,113.802329,22.65049
1704509001,"2024-01-06 02:43:21",B2045,CA1308,0,0,331,113.802338,22.650492
1704509006,"2024-01-06 02:43:26",B2045,CA1308,0,0,331,113.802338,22.650492
1704509018,"2024-01-06 02:43:38",B2045,CA1308,0,0,331,113.802338,22.650492
1704509028,"2024-01-06 02:43:48",B2045,CA1308,0,0,331,113.802338,22.650492
1704509033,"2024-01-06 02:43:53",B2045,CA1308,0,0,331,113.802338,22.650492
1704509043,"2024-01-06 02:44:03",B2045,CA1308,0,0,331,113.802338,22.650492
1704509048,"2024-01-06 02:44:08",B2045,CA1308,0,0,331,113.802338,22.650492
1704509058,"2024-01-06 02:44:18",B2045,CA1308,0,0,331,113.802338,22.650492
1704509063,"2024-01-06 02:44:23",B2045,CA1308,0,0,331,113.802338,22.650492
1704509073,"2024-01-06 02:44:33",B2045,CA1308,0,0,331,113.802338,22.650492
1704509083,"2024-01-06 02:44:43",B2045,CA1308,0,0,331,113.802338,22.650492
1704509088,"2024-01-06 02:44:48",B2045,CA1308,0,0,331,113.802329,22.65049
1704509093,"2024-01-06 02:44:53",B2045,CA1308,0,0,331,113.802329,22.65049
