Time,"UTC TIME",Anum,Fnum,Height,Speed,Angle,Longitude,Latitude
1735563200,"2024-12-30 12:53:20",B2417,CZ6497,0,27.78,151,113.79708862305,22.632110595703
1735563228,"2024-12-30 12:53:48",B2417,CZ6497,152.4,309.284,332,113.7865524292,22.650970458984
1735563249,"2024-12-30 12:54:09",B2417,CZ6497,533.4,303.728,319,113.77545928955,22.666530609131
1735563271,"2024-12-30 12:54:31",B2417,CZ6497,792.48,305.58,313,113.76367950439,22.677619934082
1735563282,"2024-12-30 12:54:42",B2417,CZ6497,899.16,316.692,312,113.75747680664,22.682920455933
1735563296,"2024-12-30 12:54:56",B2417,CZ6497,1013.46,350.028,314,113.74733734131,22.691799163818
1735563328,"2024-12-30 12:55:28",B2417,CZ6497,1234.44,424.108,317,113.72537231445,22.712997436523
1735563345,"2024-12-30 12:55:45",B2417,CZ6497,1501.14,448.184,317,113.71008300781,22.728540420532
1735563360,"2024-12-30 12:56:00",B2417,CZ6497,1737.36,457.444,317,113.69766235352,22.741189956665
1735563375,"2024-12-30 12:56:15",B2417,CZ6497,1996.44,450.036,295,113.68300628662,22.751239776611
1735563390,"2024-12-30 12:56:30",B2417,CZ6497,2286,425.96,274,113.66516113281,22.754360198975
1735563410,"2024-12-30 12:56:50",B2417,CZ6497,2537.46,433.368,270,113.6434173584,22.754699707031
1735563430,"2024-12-30 12:57:10",B2417,CZ6497,2628.9,448.184,269,113.61930847168,22.754430770874
1735563454,"2024-12-30 12:57:34",B2417,CZ6497,2651.76,453.74,268,113.59308624268,22.753969192505
1735563475,"2024-12-30 12:57:55",B2417,CZ6497,2644.14,450.036,247,113.56410217285,22.750400543213
1735563495,"2024-12-30 12:58:15",B2417,CZ6497,2651.76,479.668,226,113.54263305664,22.734020233154
1735563510,"2024-12-30 12:58:30",B2417,CZ6497,2644.14,492.632,226,113.52884674072,22.721220016479
1735563534,"2024-12-30 12:58:54",B2417,CZ6497,2651.76,496.336,225,113.51133728027,22.704940795898
1735563547,"2024-12-30 12:59:07",B2417,CZ6497,2743.2,500.04,225,113.49746704102,22.692119598389
1735563570,"2024-12-30 12:59:30",B2417,CZ6497,3070.86,507.448,227,113.47424316406,22.671430587769
1735563594,"2024-12-30 12:59:54",B2417,CZ6497,3345.18,524.116,227,113.45111846924,22.651470184326
