Time,"UTC TIME",Anum,Fnum,Height,Speed,Angle,Longitude,Latitude
1688486248,"2023-07-04 15:57:28",B6981,DZ6258,114.3,229.648,238,118.8691,31.7247
1688486263,"2023-07-04 15:57:43",B6981,DZ6258,144.78,316.692,238,118.85812,31.71881
1688486279,"2023-07-04 15:57:59",B6981,DZ6258,342.9,309.284,237,118.84686,31.71255
1688486294,"2023-07-04 15:58:14",B6981,DZ6258,571.5,303.728,238,118.83572,31.70631
1688486308,"2023-07-04 15:58:28",B6981,DZ6258,746.76,311.136,240,118.82417,31.70026
1688486319,"2023-07-04 15:58:39",B6981,DZ6258,853.44,320.396,240,118.81579,31.69611
1688486333,"2023-07-04 15:58:53",B6981,DZ6258,975.36,348.176,240,118.80281,31.68947
1688486348,"2023-07-04 15:59:08",B6981,DZ6258,1089.66,377.808,239,118.78934,31.68252
1688486363,"2023-07-04 15:59:23",B6981,DZ6258,1242.06,400.032,239,118.77457,31.67456
1688486379,"2023-07-04 15:59:39",B6981,DZ6258,1440.18,405.588,236,118.75963,31.66632
1688486393,"2023-07-04 15:59:53",B6981,DZ6258,1706.88,401.884,209,118.74847,31.65459
1688486408,"2023-07-04 16:00:08",B6981,DZ6258,1866.9,440.776,179,118.74529,31.63932
1688486423,"2023-07-04 16:00:23",B6981,DZ6258,2072.64,468.556,152,118.75192,31.62273
1688486438,"2023-07-04 16:00:38",B6981,DZ6258,2263.14,498.188,130,118.7663,31.60909
1688486453,"2023-07-04 16:00:53",B6981,DZ6258,2415.54,527.82,110,118.78649,31.60017
1688486464,"2023-07-04 16:01:04",B6981,DZ6258,2514.6,544.488,100,118.80163,31.59668
1688486478,"2023-07-04 16:01:18",B6981,DZ6258,2659.38,566.712,87,118.82619,31.59526
1688486493,"2023-07-04 16:01:33",B6981,DZ6258,2811.78,564.86,70,118.84988,31.59975
1688486504,"2023-07-04 16:01:44",B6981,DZ6258,2811.78,564.86,60,118.86496,31.60606
1688486518,"2023-07-04 16:01:58",B6981,DZ6258,2827.02,568.564,66,118.88666,31.61613
1688486534,"2023-07-04 16:02:14",B6981,DZ6258,2910.84,577.824,85,118.91155,31.62053
1688486549,"2023-07-04 16:02:29",B6981,DZ6258,3078.48,577.824,103,118.93648,31.61797
1688486563,"2023-07-04 16:02:43",B6981,DZ6258,3268.98,566.712,121,118.95897,31.60902
1688486578,"2023-07-04 16:02:58",B6981,DZ6258,3444.24,557.452,135,118.97752,31.59499
1688486593,"2023-07-04 16:03:13",B6981,DZ6258,3604.26,564.86,138,118.99491,31.57896
1688486608,"2023-07-04 16:03:28",B6981,DZ6258,3749.04,574.12,139,119.01102,31.56313
1688486623,"2023-07-04 16:03:43",B6981,DZ6258,3893.82,585.232,139,119.02714,31.5471
1688486638,"2023-07-04 16:03:58",B6981,DZ6258,4000.5,605.604,138,119.04494,31.52955
1688486653,"2023-07-04 16:04:13",B6981,DZ6258,4069.08,637.088,138,119.06268,31.51223
1688486669,"2023-07-04 16:04:29",B6981,DZ6258,4145.28,661.164,138,119.08163,31.49371
1688486684,"2023-07-04 16:04:44",B6981,DZ6258,4236.72,685.24,138,119.10117,31.47482
1688486698,"2023-07-04 16:04:58",B6981,DZ6258,4404.36,692.648,138,119.12131,31.45551
1688486709,"2023-07-04 16:05:09",B6981,DZ6258,4511.04,694.5,138,119.1347,31.44264
1688486723,"2023-07-04 16:05:23",B6981,DZ6258,4663.44,701.908,138,119.15508,31.42299
1688486738,"2023-07-04 16:05:38",B6981,DZ6258,4815.84,709.316,138,119.17656,31.40214
1688486753,"2023-07-04 16:05:53",B6981,DZ6258,5067.3,694.5,138,119.19617,31.38313
1688486768,"2023-07-04 16:06:08",B6981,DZ6258,5311.14,683.388,138,119.21638,31.36364
1688486783,"2023-07-04 16:06:23",B6981,DZ6258,5402.58,705.612,138,119.2361,31.34451
1688486794,"2023-07-04 16:06:34",B6981,DZ6258,5455.92,714.872,138,119.24991,31.33104
1688486809,"2023-07-04 16:06:49",B6981,DZ6258,5577.84,727.836,138,119.27131,31.31034
1688486823,"2023-07-04 16:07:03",B6981,DZ6258,5715,733.392,138,119.29197,31.29032
1688486838,"2023-07-04 16:07:18",B6981,DZ6258,5836.92,737.096,138,119.31341,31.26956
1688486853,"2023-07-04 16:07:33",B6981,DZ6258,5913.12,740.8,139,119.33538,31.24818
