Time,"UTC TIME",Anum,Fnum,Height,Speed,Angle,Longitude,Latitude
1705495444,"2024-01-17 12:44:04",B3228,G52928,342.9,279.652,18,122.20572,43.57054
1705495473,"2024-01-17 12:44:33",B3228,G52928,624.84,325.952,327,122.20413,43.58914
1705495488,"2024-01-17 12:44:48",B3228,G52928,769.62,368.548,284,122.18847,43.59581
1705495503,"2024-01-17 12:45:03",B3228,G52928,960.12,394.476,248,122.16912,43.59393
1705495518,"2024-01-17 12:45:18",B3228,G52928,1173.48,409.292,235,122.15149,43.58565
1705495533,"2024-01-17 12:45:33",B3228,G52928,1379.22,418.552,235,122.13416,43.57676
1705495553,"2024-01-17 12:45:53",B3228,G52928,1714.5,414.848,236,122.11245,43.56591
1705495573,"2024-01-17 12:46:13",B3228,G52928,1920.24,466.704,237,122.08511,43.55278
1705495587,"2024-01-17 12:46:27",B3228,G52928,1965.96,490.78,238,122.06151,43.5417
1705495602,"2024-01-17 12:46:42",B3228,G52928,1981.2,494.484,238,122.0399,43.53163
1705495617,"2024-01-17 12:46:57",B3228,G52928,1981.2,498.188,238,122.01867,43.52183
1705495632,"2024-01-17 12:47:12",B3228,G52928,1981.2,498.188,238,121.99736,43.51199
1705495647,"2024-01-17 12:47:27",B3228,G52928,2042.16,498.188,238,121.97507,43.50169
1705495667,"2024-01-17 12:47:47",B3228,G52928,2133.6,498.188,239,121.95223,43.49124
1705495682,"2024-01-17 12:48:02",B3228,G52928,2225.04,492.632,238,121.92787,43.48009
1705495697,"2024-01-17 12:48:17",B3228,G52928,2286,490.78,238,121.90557,43.46988
1705495717,"2024-01-17 12:48:37",B3228,G52928,2286,488.928,238,121.87709,43.45674
1705495732,"2024-01-17 12:48:52",B3228,G52928,2286,492.632,239,121.85333,43.44594
1705495757,"2024-01-17 12:49:17",B3228,G52928,2286,487.076,244,121.82033,43.43179
1705495772,"2024-01-17 12:49:32",B3228,G52928,2286,485.224,247,121.79756,43.42447
1705495787,"2024-01-17 12:49:47",B3228,G52928,2308.86,485.224,247,121.77527,43.41742
1705495802,"2024-01-17 12:50:02",B3228,G52928,2354.58,488.928,247,121.75238,43.41024
1705495817,"2024-01-17 12:50:17",B3228,G52928,2392.68,492.632,247,121.7291,43.40293
1705495832,"2024-01-17 12:50:32",B3228,G52928,2438.4,494.484,247,121.70452,43.3952
1705495849,"2024-01-17 12:50:49",B3228,G52928,2468.88,494.484,247,121.68117,43.38785
1705495864,"2024-01-17 12:51:04",B3228,G52928,2514.6,498.188,247,121.65612,43.37998
1705495878,"2024-01-17 12:51:18",B3228,G52928,2552.7,503.744,247,121.63226,43.37247
1705495893,"2024-01-17 12:51:33",B3228,G52928,2590.8,507.448,247,121.60837,43.36496
1705495908,"2024-01-17 12:51:48",B3228,G52928,2628.9,503.744,247,121.58275,43.35689
1705495939,"2024-01-17 12:52:19",B3228,G52928,2781.3,511.152,245,121.53166,43.34001
1705495954,"2024-01-17 12:52:34",B3228,G52928,2987.04,509.3,245,121.51134,43.33282
1705495973,"2024-01-17 12:52:53",B3228,G52928,3322.32,500.04,244,121.48516,43.32349
1705495987,"2024-01-17 12:53:07",B3228,G52928,3528.06,514.856,244,121.46101,43.31488
