Time,"UTC TIME",Anum,Fnum,Height,Speed,Angle,Longitude,Latitude
1705488350,"2024-01-17 10:45:50",B3228,G52928,1935.48,418.552,126,117.29917,49.51915
1705488364,"2024-01-17 10:46:04",B3228,G52928,2049.78,429.664,126,117.3157,49.51112
1705488381,"2024-01-17 10:46:21",B3228,G52928,2316.48,453.74,127,117.33753,49.50009
1705488401,"2024-01-17 10:46:41",B3228,G52928,2476.5,492.632,129,117.36456,49.48595
1705488416,"2024-01-17 10:46:56",B3228,G52928,2598.42,537.08,129,117.38728,49.47367
1705488431,"2024-01-17 10:47:11",B3228,G52928,2811.78,555.6,130,117.41118,49.46049
1705488446,"2024-01-17 10:47:26",B3228,G52928,3032.76,568.564,130,117.43554,49.44699
1705488461,"2024-01-17 10:47:41",B3228,G52928,3307.08,575.972,130,117.46508,49.43047
1705488476,"2024-01-17 10:47:56",B3228,G52928,3528.06,590.788,130,117.49119,49.41576
1705488491,"2024-01-17 10:48:11",B3228,G52928,3589.02,622.272,130,117.51916,49.39993
1705488506,"2024-01-17 10:48:26",B3228,G52928,3596.64,633.384,131,117.54667,49.38428
1705488521,"2024-01-17 10:48:41",B3228,G52928,3642.36,655.608,130,117.57498,49.36816
1705488536,"2024-01-17 10:48:56",B3228,G52928,3886.2,651.904,131,117.60252,49.35246
1705488551,"2024-01-17 10:49:11",B3228,G52928,4130.04,659.312,128,117.633,49.33615
1705488566,"2024-01-17 10:49:26",B3228,G52928,4251.96,681.536,106,117.6674,49.32615
1705488581,"2024-01-17 10:49:41",B3228,G52928,4419.6,692.648,101,117.70694,49.32033
1705488601,"2024-01-17 10:50:01",B3228,G52928,4579.62,716.724,101,117.74763,49.31479
1705488616,"2024-01-17 10:50:16",B3228,G52928,4777.74,725.984,101,117.79151,49.30883
1705488631,"2024-01-17 10:50:31",B3228,G52928,5059.68,720.428,101,117.83466,49.30292
1705488646,"2024-01-17 10:50:46",B3228,G52928,5234.94,733.392,101,117.88041,49.29672
1705488661,"2024-01-17 10:51:01",B3228,G52928,5387.34,735.244,101,117.91753,49.29163
1705488676,"2024-01-17 10:51:16",B3228,G52928,5539.74,753.764,101,117.96168,49.28563
1705488692,"2024-01-17 10:51:32",B3228,G52928,5661.66,763.024,101,117.99746,49.28073
1705488706,"2024-01-17 10:51:46",B3228,G52928,5897.88,761.172,101,118.04415,49.27428
1705488721,"2024-01-17 10:52:01",B3228,G52928,6080.76,764.876,98,118.08648,49.26878
1705488736,"2024-01-17 10:52:16",B3228,G52928,6248.4,768.58,93,118.12991,49.26628
1705488751,"2024-01-17 10:52:31",B3228,G52928,6408.42,781.544,92,118.18145,49.26451
1705488765,"2024-01-17 10:52:45",B3228,G52928,6568.44,781.544,92,118.22019,49.26325
1705488780,"2024-01-17 10:53:00",B3228,G52928,6728.46,781.544,92,118.25571,49.2621
1705488793,"2024-01-17 10:53:13",B3228,G52928,6896.1,792.656,92,118.30707,49.26041
1705488808,"2024-01-17 10:53:28",B3228,G52928,7002.78,801.916,92,118.34364,49.25925
1705488823,"2024-01-17 10:53:43",B3228,G52928,7170.42,813.028,92,118.39874,49.25743
1705488843,"2024-01-17 10:54:03",B3228,G52928,7299.96,827.844,100,118.44888,49.25432
1705488858,"2024-01-17 10:54:18",B3228,G52928,7459.98,831.548,115,118.49811,49.24187
1705488924,"2024-01-17 10:55:24",B3228,G52928,8054.34,820.436,148,118.61981,49.13713
1705488939,"2024-01-17 10:55:39",B3228,G52928,8092.44,833.4,148,118.64896,49.10555
1705488964,"2024-01-17 10:56:04",B3228,G52928,8115.3,829.696,148,118.68516,49.06634
1705488993,"2024-01-17 10:56:33",B3228,G52928,8107.68,831.548,148,118.73904,49.0079
1705489013,"2024-01-17 10:56:53",B3228,G52928,8107.68,831.548,148,118.76742,48.97701
1705489028,"2024-01-17 10:57:08",B3228,G52928,8107.68,829.696,148,118.79439,48.94757
1705489043,"2024-01-17 10:57:23",B3228,G52928,8107.68,827.844,148,118.8196,48.92012
1705489058,"2024-01-17 10:57:38",B3228,G52928,8107.68,825.992,149,118.83738,48.90061
1705489073,"2024-01-17 10:57:53",B3228,G52928,8107.68,827.844,148,118.86455,48.87091
1705489088,"2024-01-17 10:58:08",B3228,G52928,8107.68,825.992,149,118.88785,48.84526
1705489103,"2024-01-17 10:58:23",B3228,G52928,8107.68,825.992,149,118.91489,48.81555
1705489127,"2024-01-17 10:58:47",B3228,G52928,8107.68,825.992,149,118.95066,48.77628
1705489155,"2024-01-17 10:59:15",B3228,G52928,8107.68,825.992,149,118.99947,48.72244
1705489169,"2024-01-17 10:59:29",B3228,G52928,8107.68,825.992,149,119.01771,48.70226
1705489182,"2024-01-17 10:59:42",B3228,G52928,8107.68,825.992,149,119.0378,48.68009
1705489197,"2024-01-17 10:59:57",B3228,G52928,8107.68,827.844,149,119.06095,48.65442
1705489212,"2024-01-17 11:00:12",B3228,G52928,8107.68,827.844,149,119.0856,48.62709
1705489227,"2024-01-17 11:00:27",B3228,G52928,8107.68,827.844,149,119.1142,48.59528
1705489242,"2024-01-17 11:00:42",B3228,G52928,8107.68,829.696,149,119.14015,48.56655
1705489257,"2024-01-17 11:00:57",B3228,G52928,8107.68,827.844,149,119.16342,48.54058
1705489272,"2024-01-17 11:01:12",B3228,G52928,8107.68,829.696,149,119.18758,48.5137
1705489287,"2024-01-17 11:01:27",B3228,G52928,8107.68,827.844,149,119.21106,48.48755
1705489302,"2024-01-17 11:01:42",B3228,G52928,8115.3,827.844,149,119.2352,48.46051
1705489317,"2024-01-17 11:01:57",B3228,G52928,8107.68,827.844,149,119.25321,48.44041
1705489332,"2024-01-17 11:02:12",B3228,G52928,8115.3,827.844,149,119.27936,48.41107
