Time,"UTC TIME",Anum,Fnum,Height,Speed,Angle,Longitude,Latitude
1735835145,"2025-01-02 16:25:45",B5733,HU7027,0,14.816,90,110.45079803467,19.946924209595
1735835928,"2025-01-02 16:38:48",B5733,HU7027,91.44,300.024,91,110.47557067871,19.953729629517
1735835943,"2025-01-02 16:39:03",B5733,HU7027,312.42,292.616,91,110.48665618896,19.953498840332
1735835963,"2025-01-02 16:39:23",B5733,HU7027,571.5,277.8,75,110.50048828125,19.955383300781
1735835977,"2025-01-02 16:39:37",B5733,HU7027,777.24,268.54,24,110.50653076172,19.963182449341
1735835988,"2025-01-02 16:39:48",B5733,HU7027,906.78,285.208,4,110.50792694092,19.97146987915
1735836001,"2025-01-02 16:40:01",B5733,HU7027,1021.08,294.468,0,110.50799560547,19.981292724609
1735836015,"2025-01-02 16:40:15",B5733,HU7027,1082.04,331.508,1,110.50827789307,19.99135017395
1735836030,"2025-01-02 16:40:30",B5733,HU7027,1165.86,385.216,0,110.5083770752,20.005310058594
1735836041,"2025-01-02 16:40:41",B5733,HU7027,1226.82,411.144,0,110.50827789307,20.015829086304
1735836055,"2025-01-02 16:40:55",B5733,HU7027,1348.74,440.776,0,110.50798797607,20.031600952148
1735836070,"2025-01-02 16:41:10",B5733,HU7027,1455.42,477.816,359,110.5074005127,20.04921913147
1735836086,"2025-01-02 16:41:26",B5733,HU7027,1630.68,492.632,359,110.50678253174,20.067880630493
1735836101,"2025-01-02 16:41:41",B5733,HU7027,1836.42,505.596,359,110.50598144531,20.087949752808
1735836115,"2025-01-02 16:41:55",B5733,HU7027,2042.16,513.004,359,110.50524902344,20.107269287109
1735836126,"2025-01-02 16:42:06",B5733,HU7027,2186.94,514.856,359,110.50482940674,20.119640350342
1735836140,"2025-01-02 16:42:20",B5733,HU7027,2377.44,531.524,359,110.50422668457,20.139749526978
1735836155,"2025-01-02 16:42:35",B5733,HU7027,2583.18,544.488,359,110.50367736816,20.161239624023
1735836170,"2025-01-02 16:42:50",B5733,HU7027,2804.16,550.044,0,110.50332641602,20.181289672852
1735836181,"2025-01-02 16:43:01",B5733,HU7027,2956.56,553.748,359,110.50299072266,20.195980072021
1735836195,"2025-01-02 16:43:15",B5733,HU7027,3177.54,566.712,0,110.50238800049,20.218200683594
1735836210,"2025-01-02 16:43:30",B5733,HU7027,3360.42,581.528,359,110.50179290771,20.240449905396
1735836221,"2025-01-02 16:43:41",B5733,HU7027,3474.72,592.64,0,110.50141906738,20.255310058594
1735836235,"2025-01-02 16:43:55",B5733,HU7027,3604.26,618.568,359,110.50087738037,20.277599334717
1735836246,"2025-01-02 16:44:06",B5733,HU7027,3688.08,633.384,359,110.50048828125,20.292850494385
1735836261,"2025-01-02 16:44:21",B5733,HU7027,3810,659.312,359,110.49983978271,20.318559646606
1735836276,"2025-01-02 16:44:36",B5733,HU7027,3985.26,672.276,0,110.49923706055,20.343229293823
1735836290,"2025-01-02 16:44:50",B5733,HU7027,4221.48,674.128,0,110.49867248535,20.368059158325
1735836306,"2025-01-02 16:45:06",B5733,HU7027,4389.12,675.98,0,110.4981918335,20.386299133301
1735836320,"2025-01-02 16:45:20",B5733,HU7027,4625.34,677.832,0,110.49758911133,20.41189956665
1735836335,"2025-01-02 16:45:35",B5733,HU7027,4853.94,677.832,359,110.49691009521,20.437089920044
1735836346,"2025-01-02 16:45:46",B5733,HU7027,5013.96,677.832,359,110.49639129639,20.454399108887
