Time,"UTC TIME",Anum,Fnum,Height,Speed,Angle,Longitude,Latitude
1736397232,"2025-01-09 04:33:52",B5665,KN5290,83.82,209.276,230,125.69094085693,43.999919891357
1736397247,"2025-01-09 04:34:07",B5665,KN5290,144.78,274.096,229,125.6803894043,43.993350982666
1736397262,"2025-01-09 04:34:22",B5665,KN5290,342.9,281.504,231,125.66941070557,43.986560821533
1736397277,"2025-01-09 04:34:37",B5665,KN5290,548.64,288.912,231,125.65704345703,43.979156494141
1736397293,"2025-01-09 04:34:53",B5665,KN5290,647.7,333.36,230,125.64392852783,43.971179962158
1736397307,"2025-01-09 04:35:07",B5665,KN5290,708.66,379.66,230,125.6298828125,43.962619781494
1736397323,"2025-01-09 04:35:23",B5665,KN5290,838.2,411.144,230,125.61329650879,43.952342987061
1736397337,"2025-01-09 04:35:37",B5665,KN5290,1043.94,425.96,229,125.59700775146,43.942050933838
1736397348,"2025-01-09 04:35:48",B5665,KN5290,1181.1,437.072,229,125.58589172363,43.934928894043
1736397362,"2025-01-09 04:36:02",B5665,KN5290,1371.6,453.74,229,125.56909179688,43.924221038818
1736397373,"2025-01-09 04:36:13",B5665,KN5290,1516.38,459.296,230,125.55679321289,43.916538238525
1736397387,"2025-01-09 04:36:27",B5665,KN5290,1722.12,472.26,229,125.53809356689,43.904861450195
1736397402,"2025-01-09 04:36:42",B5665,KN5290,1912.62,485.224,229,125.52020263672,43.893447875977
1736397417,"2025-01-09 04:36:57",B5665,KN5290,2118.36,494.484,229,125.50071716309,43.881130218506
1736397433,"2025-01-09 04:37:13",B5665,KN5290,2308.86,507.448,229,125.48175048828,43.869190216064
1736397447,"2025-01-09 04:37:27",B5665,KN5290,2522.22,516.708,229,125.4616394043,43.856628417969
1736397463,"2025-01-09 04:37:43",B5665,KN5290,2750.82,518.56,230,125.44117736816,43.843738555908
1736397477,"2025-01-09 04:37:57",B5665,KN5290,2971.8,520.412,230,125.42043304443,43.831008911133
1736397492,"2025-01-09 04:38:12",B5665,KN5290,3154.68,535.228,218,125.40115356445,43.817668914795
1736397503,"2025-01-09 04:38:23",B5665,KN5290,3307.08,537.08,213,125.3904876709,43.806259155273
1736397517,"2025-01-09 04:38:37",B5665,KN5290,3489.96,550.044,210,125.37616729736,43.788799285889
1736397528,"2025-01-09 04:38:48",B5665,KN5290,3611.88,559.304,210,125.36658477783,43.776626586914
1736397543,"2025-01-09 04:39:03",B5665,KN5290,3771.9,577.824,210,125.35217285156,43.758079528809
1736397557,"2025-01-09 04:39:17",B5665,KN5290,3939.54,596.344,210,125.33725738525,43.738849639893
1736397573,"2025-01-09 04:39:33",B5665,KN5290,4099.56,616.716,210,125.32183074951,43.719394683838
1736397588,"2025-01-09 04:39:48",B5665,KN5290,4267.2,633.384,211,125.30532836914,43.698989868164
1736397602,"2025-01-09 04:40:02",B5665,KN5290,4434.84,650.052,211,125.28814697266,43.678024291992
1736397617,"2025-01-09 04:40:17",B5665,KN5290,4587.24,672.276,211,125.27082061768,43.656921386719
1736397628,"2025-01-09 04:40:28",B5665,KN5290,4693.92,687.092,212,125.25846099854,43.642070770264
1736397642,"2025-01-09 04:40:42",B5665,KN5290,4853.94,701.908,213,125.24015045166,43.620750427246
