Time,"UTC TIME",Anum,Fnum,Height,Speed,Angle,Longitude,Latitude
1687845235,"2023-06-27 05:53:55",B207L,MU5760,0,51.856,143,113.803852,22.651749
1687845240,"2023-06-27 05:54:00",B207L,MU5760,0,125.936,154,113.804851,22.649918
1687845441,"2023-06-27 05:57:21",B207L,MU5760,2042.16,470.408,232,113.84722,22.49304
1687845456,"2023-06-27 05:57:36",B207L,MU5760,2247.9,475.964,233,113.832242,22.482788
1687845470,"2023-06-27 05:57:50",B207L,MU5760,2468.88,481.52,232,113.816579,22.471557
1687845481,"2023-06-27 05:58:01",B207L,MU5760,2613.66,485.224,233,113.806424,22.464203
1687845495,"2023-06-27 05:58:15",B207L,MU5760,2827.02,492.632,232,113.790843,22.452982
1687845510,"2023-06-27 05:58:30",B207L,MU5760,3032.76,496.336,233,113.77476,22.44159
1687845525,"2023-06-27 05:58:45",B207L,MU5760,3230.88,501.892,232,113.758952,22.430358
1687845536,"2023-06-27 05:58:56",B207L,MU5760,3368.04,503.744,233,113.747947,22.422455
1687845550,"2023-06-27 05:59:10",B207L,MU5760,3566.16,513.004,233,113.73169,22.41085
1687845565,"2023-06-27 05:59:25",B207L,MU5760,3695.7,535.228,233,113.71514,22.39906
1687845580,"2023-06-27 05:59:40",B207L,MU5760,3771.9,572.268,232,113.696761,22.385925
1687845591,"2023-06-27 05:59:51",B207L,MU5760,3817.62,590.788,234,113.684438,22.377195
1687845605,"2023-06-27 06:00:05",B207L,MU5760,3886.2,627.828,233,113.6646,22.36313
1687845620,"2023-06-27 06:00:20",B207L,MU5760,3954.78,657.46,233,113.64378,22.34839
1687845631,"2023-06-27 06:00:31",B207L,MU5760,4000.5,679.684,233,113.62971,22.33846
1687845646,"2023-06-27 06:00:46",B207L,MU5760,4130.04,696.352,233,113.60757,22.32275
1687845660,"2023-06-27 06:01:00",B207L,MU5760,4206.24,707.464,234,113.5846,22.306458
1687845675,"2023-06-27 06:01:15",B207L,MU5760,4213.86,709.316,233,113.561978,22.290344
1687845690,"2023-06-27 06:01:30",B207L,MU5760,4206.24,707.464,232,113.53941,22.27419
1687845706,"2023-06-27 06:01:46",B207L,MU5760,4206.24,705.612,232,113.516642,22.257696
1687845721,"2023-06-27 06:02:01",B207L,MU5760,4206.24,703.76,233,113.49441,22.24182
1687845735,"2023-06-27 06:02:15",B207L,MU5760,4206.24,700.056,233,113.47124,22.22658
1687845751,"2023-06-27 06:02:31",B207L,MU5760,4274.82,700.056,219,113.45179,22.207
1687845765,"2023-06-27 06:02:45",B207L,MU5760,4434.84,701.908,218,113.43404,22.1862
1687845781,"2023-06-27 06:03:01",B207L,MU5760,4617.72,705.612,219,113.41651,22.16583
1687845796,"2023-06-27 06:03:16",B207L,MU5760,4800.6,709.316,219,113.39859,22.14513
1687845810,"2023-06-27 06:03:30",B207L,MU5760,4960.62,716.724,220,113.38023,22.12395
1687845825,"2023-06-27 06:03:45",B207L,MU5760,5120.64,722.28,219,113.36213,22.10298
1687845841,"2023-06-27 06:04:01",B207L,MU5760,5257.8,733.392,219,113.34375,22.08179
1687845856,"2023-06-27 06:04:16",B207L,MU5760,5402.58,740.8,220,113.324483,22.059709
1687845871,"2023-06-27 06:04:31",B207L,MU5760,5554.98,748.208,219,113.305947,22.038437
1687845885,"2023-06-27 06:04:45",B207L,MU5760,5707.38,750.06,218,113.28652,22.01588
1687845900,"2023-06-27 06:05:00",B207L,MU5760,5844.54,757.468,220,113.26808,21.99449
1687845915,"2023-06-27 06:05:15",B207L,MU5760,5981.7,761.172,219,113.24855,21.97177
1687845926,"2023-06-27 06:05:26",B207L,MU5760,6080.76,766.728,218,113.235931,21.956922
1687845941,"2023-06-27 06:05:41",B207L,MU5760,6210.3,770.432,219,113.216604,21.934251
1687845956,"2023-06-27 06:05:56",B207L,MU5760,6332.22,781.544,223,113.196665,21.911952
1687845970,"2023-06-27 06:06:10",B207L,MU5760,6461.76,785.248,236,113.17196,21.8941
1687845985,"2023-06-27 06:06:25",B207L,MU5760,6583.68,788.952,236,113.145247,21.877487
1687846000,"2023-06-27 06:06:40",B207L,MU5760,6713.22,792.656,237,113.11883,21.86124
