Time,"UTC TIME",Anum,Fnum,Height,Speed,Angle,Longitude,Latitude
1705574237,"2024-01-18 10:37:17",B1713,ZH8986,1264.92,288.912,129,110.02075,40.54564
1705574252,"2024-01-18 10:37:32",B1713,ZH8986,1478.28,292.616,128,110.03319,40.53811
1705574267,"2024-01-18 10:37:47",B1713,ZH8986,1623.06,298.172,140,110.04352,40.53072
1705574282,"2024-01-18 10:38:02",B1713,ZH8986,1783.08,307.432,171,110.04768,40.51963
1705574297,"2024-01-18 10:38:17",B1713,ZH8986,1905,324.1,195,110.04587,40.50841
1705574312,"2024-01-18 10:38:32",B1713,ZH8986,1973.58,370.4,198,110.04037,40.49579
1705574327,"2024-01-18 10:38:47",B1713,ZH8986,2065.02,401.884,198,110.03467,40.48187
1705574342,"2024-01-18 10:39:02",B1713,ZH8986,2225.04,425.96,197,110.02801,40.46497
1705574357,"2024-01-18 10:39:17",B1713,ZH8986,2407.92,435.22,197,110.02233,40.45012
1705574372,"2024-01-18 10:39:32",B1713,ZH8986,2522.22,470.408,197,110.01593,40.4339
1705574387,"2024-01-18 10:39:47",B1713,ZH8986,2644.14,496.336,198,110.00866,40.41595
1705574402,"2024-01-18 10:40:02",B1713,ZH8986,2849.88,503.744,198,110.00159,40.39842
1705574417,"2024-01-18 10:40:17",B1713,ZH8986,2987.04,511.152,198,109.99585,40.38469
1705574432,"2024-01-18 10:40:32",B1713,ZH8986,3185.16,520.412,198,109.98816,40.36624
1705574447,"2024-01-18 10:40:47",B1713,ZH8986,3406.14,520.412,198,109.98032,40.3472
1705574462,"2024-01-18 10:41:02",B1713,ZH8986,3558.54,533.376,198,109.97271,40.32872
1705574477,"2024-01-18 10:41:17",B1713,ZH8986,3596.64,542.636,191,109.96665,40.30935
1705574492,"2024-01-18 10:41:32",B1713,ZH8986,3627.12,540.784,181,109.96472,40.28838
1705574507,"2024-01-18 10:41:47",B1713,ZH8986,3710.94,538.932,179,109.96503,40.26689
1705574522,"2024-01-18 10:42:02",B1713,ZH8986,3794.76,540.784,180,109.96503,40.24562
1705574537,"2024-01-18 10:42:17",B1713,ZH8986,3870.96,540.784,179,109.96509,40.22546
1705574552,"2024-01-18 10:42:32",B1713,ZH8986,3947.16,544.488,181,109.96515,40.20538
1705574567,"2024-01-18 10:42:47",B1713,ZH8986,4069.08,561.156,189,109.96381,40.18488
1705574582,"2024-01-18 10:43:02",B1713,ZH8986,4145.28,592.64,208,109.9538,40.16432
1705574597,"2024-01-18 10:43:17",B1713,ZH8986,4206.24,625.976,223,109.93563,40.14586
1705574612,"2024-01-18 10:43:32",B1713,ZH8986,4297.68,657.46,228,109.91247,40.12929
1705574627,"2024-01-18 10:43:47",B1713,ZH8986,4511.04,663.016,227,109.88837,40.112
1705574643,"2024-01-18 10:44:03",B1713,ZH8986,4739.64,666.72,227,109.86522,40.09535
1705574657,"2024-01-18 10:44:17",B1713,ZH8986,4960.62,670.424,225,109.84119,40.07794
1705574672,"2024-01-18 10:44:32",B1713,ZH8986,5166.36,675.98,208,109.82152,40.05652
1705574687,"2024-01-18 10:44:47",B1713,ZH8986,5379.72,683.388,194,109.8111,40.03325
1705574702,"2024-01-18 10:45:02",B1713,ZH8986,5577.84,685.24,187,109.80701,40.008
1705574717,"2024-01-18 10:45:17",B1713,ZH8986,5768.34,688.944,187,109.80316,39.98282
1705574732,"2024-01-18 10:45:32",B1713,ZH8986,5943.6,696.352,187,109.79911,39.95686
1705574747,"2024-01-18 10:45:47",B1713,ZH8986,6126.48,703.76,187,109.79492,39.92963
1705574762,"2024-01-18 10:46:02",B1713,ZH8986,6271.26,713.02,187,109.79115,39.90417
1705574777,"2024-01-18 10:46:17",B1713,ZH8986,6309.36,720.428,187,109.78717,39.87721
1705574792,"2024-01-18 10:46:32",B1713,ZH8986,6309.36,720.428,187,109.78333,39.85075
1705574807,"2024-01-18 10:46:47",B1713,ZH8986,6309.36,720.428,187,109.77951,39.82379
1705574822,"2024-01-18 10:47:02",B1713,ZH8986,6309.36,718.576,187,109.77563,39.79667
1705574837,"2024-01-18 10:47:17",B1713,ZH8986,6309.36,720.428,187,109.77181,39.76978
1705574852,"2024-01-18 10:47:32",B1713,ZH8986,6309.36,718.576,187,109.76799,39.74295
1705574867,"2024-01-18 10:47:47",B1713,ZH8986,6309.36,720.428,187,109.76417,39.71672
1705574882,"2024-01-18 10:48:02",B1713,ZH8986,6309.36,720.428,187,109.76025,39.68923
1705574897,"2024-01-18 10:48:17",B1713,ZH8986,6309.36,720.428,187,109.75628,39.66161
1705574912,"2024-01-18 10:48:32",B1713,ZH8986,6309.36,720.428,187,109.75258,39.63574
1705574927,"2024-01-18 10:48:47",B1713,ZH8986,6309.36,722.28,187,109.74872,39.60869
1705574942,"2024-01-18 10:49:02",B1713,ZH8986,6309.36,722.28,187,109.74487,39.58151
1705574957,"2024-01-18 10:49:17",B1713,ZH8986,6309.36,722.28,187,109.74103,39.55492
1705574972,"2024-01-18 10:49:32",B1713,ZH8986,6309.36,722.28,187,109.73712,39.52766
1705574987,"2024-01-18 10:49:47",B1713,ZH8986,6309.36,722.28,186,109.73348,39.50098
1705575002,"2024-01-18 10:50:02",B1713,ZH8986,6309.36,729.688,170,109.73547,39.47406
1705575017,"2024-01-18 10:50:17",B1713,ZH8986,6309.36,735.244,156,109.74613,39.44783
1705575032,"2024-01-18 10:50:32",B1713,ZH8986,6309.36,744.504,143,109.765,39.42384
1705575047,"2024-01-18 10:50:47",B1713,ZH8986,6309.36,742.652,142,109.78739,39.40169
1705575062,"2024-01-18 10:51:02",B1713,ZH8986,6309.36,740.8,142,109.80865,39.38035
1705575077,"2024-01-18 10:51:17",B1713,ZH8986,6309.36,740.8,141,109.83203,39.35712
1705575092,"2024-01-18 10:51:32",B1713,ZH8986,6309.36,740.8,141,109.85456,39.3349
1705575107,"2024-01-18 10:51:47",B1713,ZH8986,6309.36,737.096,141,109.87756,39.31229
1705575122,"2024-01-18 10:52:02",B1713,ZH8986,6309.36,737.096,141,109.89857,39.2916
1705575137,"2024-01-18 10:52:17",B1713,ZH8986,6309.36,737.096,141,109.92126,39.26917
1705575152,"2024-01-18 10:52:32",B1713,ZH8986,6309.36,737.096,141,109.94305,39.24747
1705575166,"2024-01-18 10:52:46",B1713,ZH8986,6309.36,735.244,141,109.96449,39.22641
1705575181,"2024-01-18 10:53:01",B1713,ZH8986,6309.36,735.244,141,109.98724,39.20392
1705575196,"2024-01-18 10:53:16",B1713,ZH8986,6309.36,737.096,141,110.00939,39.1821
